station_id,station_name,total_departures,member_dep,casual_dep,electric_dep,lat,lng,avg_duration,total_arrivals,net_flow,pct_member
5414.06,Allen St & Rivington St,77712,62564,15148,56126,40.72019576,-73.98997825,12.12,77980,268,80.51
5805.07,7 Ave S & Bleecker St,77342,60375,16967,55583,40.73213896287381,-74.00363802909851,12.14,77833,491,78.06
5980.11,Broadway & E 19 St,77231,66208,11023,51735,40.73829,-73.99006,11.05,77788,557,85.73
6425.04,11 Ave & W 27 St,77112,63290,13822,53219,40.751396,-74.005226,12.73,77397,285,82.08
7100.07,5 Ave & E 72 St,76859,44121,32738,52711,40.77282817,-73.96685276,20.16,77249,390,57.41
7207.08,W 70 St & Amsterdam Ave,76015,66883,9132,56631,40.77748046,-73.98288594,11.36,75414,-601,87.99
5445.02,Suffolk St & Stanton St,75929,63293,12636,53915,40.72066442,-73.98517977,11.63,75846,-83,83.36
6474.11,E 40 St & 5 Ave,75481,63473,12008,54984,40.752062307,-73.9816324043,12.39,75428,-53,84.09
6389.09,E 39 St & Lexington Ave,75394,64479,10915,54232,40.749498546025194,-73.97729203113158,11.62,73222,-2172,85.52
5626.07,E 7 St & Ave A,75245,64266,10979,45807,40.72621788,-73.98379855,9.55,75515,270,85.41
6157.04,10 Ave & W 14 St,75052,45684,29368,46221,40.741981599940225,-74.00831580162048,17.25,75390,338,60.87
5343.11,Orchard St & Grand St,74874,62069,12805,53865,40.717318403855785,-73.99067759513855,12.05,75208,334,82.9
5294.04,Henry St & Grand St,74732,68221,6511,47344,40.714211,-73.981095,9.69,74481,-251,91.29
5854.09,1 Ave & E 18 St,74554,66249,8305,46354,40.733812191966315,-73.98054420948029,9.5,74344,-210,88.86
6215.07,W 27 St & 6 Ave,74432,63249,11183,53806,40.74526,-73.99062,11.28,74705,273,84.98
6197.11,2 Ave & E 31 St,74339,62498,11841,47402,40.74299,-73.97711,10.96,73579,-760,84.07
6708.04,Broadway & W 48 St,74322,57298,17024,54514,40.76017739537783,-73.98486793041229,13.93,75224,902,77.09
5561.04,Mott St & Prince St,74203,59823,14380,55900,40.72317958,-73.99480012,11.93,74595,392,80.62
6816.07,8 Ave & W 52 St,73606,62955,10651,50216,40.76370739,-73.9851615,11.84,72834,-772,85.53
7116.04,W 67 St & Broadway,73529,65320,8209,57082,40.77492513,-73.98266566,12.16,73166,-363,88.84
6717.06,9 Ave & W 45 St,73458,62453,11005,49734,40.76019252,-73.9912551,11.09,73216,-242,85.02
6248.08,5 Ave & E 30 St,73245,61463,11782,54156,40.7459849,-73.98629487,11.41,73336,91,83.91
5515.02,E 2 St & Ave B,73115,62276,10839,47452,40.72217444,-73.98368779,10.25,72763,-352,85.18
7079.06,Central Park W & W 68 St,72725,48375,24350,52278,40.7734066,-73.97782542,18.39,71642,-1083,66.52
5687.04,MacDougal St & Prince St,72547,59583,12964,52105,40.72710258,-74.00297088,12.41,73473,926,82.13
5659.05,E 10 St & Ave A,72362,60104,12258,47438,40.72740794,-73.98142006,10.94,73023,661,83.06
6535.04,W 34 St & Hudson Blvd E,72184,59216,12968,54812,40.75516719072139,-74.00059908628464,12.34,72437,253,82.03
5746.14,E 11 St & 1 Ave,71985,61876,10109,45715,40.72953837,-73.98426726,10.04,72298,313,85.96
7014.12,Broadway & W 61 St,71923,56052,15871,51941,40.77003010255044,-73.9819684624672,15.41,69137,-2786,77.93
5788.15,4 Ave & E 12 St,71832,61217,10615,43670,40.732647,-73.99011,10.16,72235,403,85.22
5696.03,Pier 40 - Hudson River Park,71634,50498,21136,41194,40.7277140777778,-74.01129573583603,14.78,72222,588,70.49
5388.01,Kent Ave & Grand St,71245,57351,13894,52402,40.716425,-73.96594,12.5,72036,791,80.5
6450.12,8 Ave & W 33 St,71121,57920,13201,51075,40.751551,-73.993934,11.39,70288,-833,81.44
7020.02,E 77 St & 1 Ave,71088,62882,8206,50360,40.77095553869235,-73.95356208096926,12.06,71239,151,88.46
